file,exercise,source,gender,category,muscle,equipment
hLsYxR7G-ryqiVsBL.mp4,1-2 hook + straight combo,centr,,Cardio,,
SXz2EXr2-f9Vyd3qF.mp4,1-2 hook combo,centr,,Cardio,,
DsgGXTdG-f9Vyd3qF.mp4,100s,centr,,Full body,,
j2obOmry-ryqiVsBL.mp4,180 squat jumps,centr,,Cardio,,
DupmJivP-ryqiVsBL.mp4,2 orthodox punching combinations,centr,,Full body,,
YjdxUmjv-ryqiVsBL.mp4,2-hand frog squat jumps,centr,,Cardio,,
kaMku2lC-ryqiVsBL.mp4,2-hand overhead dumbbell extension,centr,,Push,,
KD1OMxHa-ryqiVsBL.mp4,3-level sit-up,centr,,Core,,
2is4Xhh3-f9Vyd3qF.mp4,3-squat combo,centr,,Cardio,,
D5j3vfky-ryqiVsBL.mp4,3-step drop,centr,,Full body,,
25d3HhKx-f9Vyd3qF.mp4,3-step drop,centr,,Full body,,
98nX61bL-ryqiVsBL.mp4,3-step push-up,centr,,Push,,
0f2LeJX4-ryqiVsBL.mp4,4-point scapular retraction,centr,,Full body,,
XfdCFUBm-ryqiVsBL.mp4,4-point shoulder rotations,centr,,Full body,,
e6lqzt45-ryqiVsBL.mp4,4-point thoracic rotation,centr,,Mobility,,
DmWOD4HM-ryqiVsBL.mp4,4-step sequence,centr,,Full body,,
HJaPOuw9-ryqiVsBL.mp4,5-step sequence,centr,,Full body,,
SwNw4CvI-f9Vyd3qF.mp4,90-90,centr,,Full body,,
aF6rXxuz-f9Vyd3qF.mp4,90-90 + reach-through,centr,,Mobility,,
rwvak1M6-f9Vyd3qF.mp4,90-90 glute stretch (left),centr,,Mobility,,
CpB1oWN3-f9Vyd3qF.mp4,90-90 glute stretch (left),centr,,Mobility,,
aUYRJxtv-f9Vyd3qF.mp4,90-90 glute stretch (right),centr,,Mobility,,
VjM5SZjS-f9Vyd3qF.mp4,90-90 glute stretch (right),centr,,Mobility,,
aDHSp1ON-f9Vyd3qF.mp4,90-90 hip rotations,centr,,Legs,,
gjmYBmEu-f9Vyd3qF.mp4,90-90 hip rotations,centr,,Legs,,
k4cSNOJ0-f9Vyd3qF.mp4,90-90 hip thrust,centr,,Legs,,
4MmItczx-f9Vyd3qF.mp4,90-90 hip thrust,centr,,Legs,,
h1ldBZjP-ryqiVsBL.mp4,90-90 hip thrust,centr,,Legs,,
ZbyVLhTO-f9Vyd3qF.mp4,90-90 hip thrust,centr,,Legs,,
3e6jG9Tz-f9Vyd3qF.mp4,90-90 hurdler stretch (left),centr,,Mobility,,
1DbUc9ud-f9Vyd3qF.mp4,90-90 hurdler stretch (right),centr,,Mobility,,
PvaOIXku-f9Vyd3qF.mp4,90-90 internal rotation + lift + lunge (left),centr,,Legs,,
piFEXp15-f9Vyd3qF.mp4,90-90 internal rotation + lift + lunge (right),centr,,Legs,,
tk8BoB27-f9Vyd3qF.mp4,90-90 lift stretch,centr,,Mobility,,
CDzP9wA8-f9Vyd3qF.mp4,90-90 stretch,centr,,Mobility,,
tdH5EXRV-f9Vyd3qF.mp4,90-90 stretch,centr,,Mobility,,
sdcXVyvd-f9Vyd3qF.mp4,90-90 stretch,centr,,Mobility,,
n9yROoKJ-f9Vyd3qF.mp4,90-90 stretch,centr,,Mobility,,
YUchZXIg-f9Vyd3qF.mp4,90-90 stretch,centr,,Mobility,,
GHakiD7P-f9Vyd3qF.mp4,90-90 stretch,centr,,Mobility,,
male-abdominals-stretch-variation-4-front.mp4,Abdominals Stretch Variation Four,musclewiki,male,Mobility,Abdominals,Stretches
female-abdominals-stretch-variation-4-front.mp4,Abdominals Stretch Variation Four,musclewiki,female,Mobility,Abdominals,Stretches
male-abdominals-stretch-variation-1-front.mp4,Abdominals Stretch Variation One,musclewiki,male,Mobility,Abdominals,Stretches
female-abdominals-stretch-variation-1-front.mp4,Abdominals Stretch Variation One,musclewiki,female,Mobility,Abdominals,Stretches
male-abdominals-stretch-variation-3-front.mp4,Abdominals Stretch Variation Three,musclewiki,male,Mobility,Abdominals,Stretches
female-abdominals-stretch-variation-3-front.mp4,Abdominals Stretch Variation Three,musclewiki,female,Mobility,Abdominals,Stretches
male-abdominals-stretch-variation-2-front.mp4,Abdominals Stretch Variation Two,musclewiki,male,Mobility,Abdominals,Stretches
female-abdominals-stretch-variation-2-front.mp4,Abdominals Stretch Variation Two,musclewiki,female,Mobility,Abdominals,Stretches
male-Recovery-abductor-leg-raise-side-lying-front.mp4,Abductor Leg Raise Side Lying,musclewiki,male,Mobility,Glutes,Recovery
female-Recovery-abductor-leg-raise-side-lying-side.mp4,Abductor Leg Raise Side Lying,musclewiki,female,Mobility,Glutes,Recovery
male-Recovery-abductor-leg-raise-side-lying-isometric-front.mp4,Abductor Leg Raise Side Lying Isometric,musclewiki,male,Mobility,Glutes,Recovery
female-Recovery-abductor-leg-raise-side-lying-isometric-front.mp4,Abductor Leg Raise Side Lying Isometric,musclewiki,female,Mobility,Glutes,Recovery
male-Recovery-adductor-leg-raise-side-lying-side.mp4,Adductor Leg Raise Side Lying,musclewiki,male,Mobility,Inner Thigh,Recovery
female-Recovery-adductor-leg-raise-side-lying-front.mp4,Adductor Leg Raise Side Lying,musclewiki,female,Mobility,Inner Thigh,Recovery
male-Recovery-adductor-leg-raise-side-lying-isometric-side.mp4,Adductor Leg Raise Side Lying Isometric,musclewiki,male,Mobility,Inner Thigh,Recovery
female-Recovery-adductor-leg-raise-side-lying-isometric-front.mp4,Adductor Leg Raise Side Lying Isometric,musclewiki,female,Mobility,Inner Thigh,Recovery
male-Recovery-adductor-raise-side-lying-long-lever-front.mp4,Adductor Raise Side Lying Long Lever,musclewiki,male,Mobility,Inner Thigh,Recovery
female-Recovery-adductor-raise-side-lying-long-lever-side.mp4,Adductor Raise Side Lying Long Lever,musclewiki,female,Mobility,Inner Thigh,Recovery
male-Recovery-adductor-raise-side-lying-short-lever-side.mp4,Adductor Raise Side Lying Short Lever,musclewiki,male,Mobility,Inner Thigh,Recovery
female-Recovery-adductor-raise-side-lying-short-lever-front.mp4,Adductor Raise Side Lying Short Lever,musclewiki,female,Mobility,Inner Thigh,Recovery
k8cns6eL-f9Vyd3qF.mp4,Adductor stretch (left),centr,,Mobility,,
BzFuV7fq-f9Vyd3qF.mp4,Adductor stretch (right),centr,,Mobility,,
male-Recovery-adductor-stretch-dynamic-standing-alternate-front.mp4,Adductor Stretch Dynamic Standing Alternate,musclewiki,male,Mobility,Inner Thigh,Recovery
female-Recovery-adductor-stretch-dynamic-standing-alternate-side.mp4,Adductor Stretch Dynamic Standing Alternate,musclewiki,female,Mobility,Inner Thigh,Recovery
male-Recovery-adductor-stretch-dynamic-unilateral-4-point-position-side.mp4,Adductor Stretch Dynamic Unilateral 4 Point Position,musclewiki,male,Mobility,Inner Thigh,Recovery
female-Recovery-adductor-stretch-dynamic-unilateral-4-point-position-front.mp4,Adductor Stretch Dynamic Unilateral 4 Point Position,musclewiki,female,Mobility,Inner Thigh,Recovery
male-Recovery-adductor-stretch-seated-bilateral-dynamic-front.mp4,Adductor Stretch Seated Bilateral Dynamic,musclewiki,male,Mobility,Inner Thigh,Recovery
female-Recovery-adductor-stretch-seated-bilateral-dynamic-front.mp4,Adductor Stretch Seated Bilateral Dynamic,musclewiki,female,Mobility,Inner Thigh,Recovery
male-Recovery-adductor-stretch-seated-bilateral-static-front.mp4,Adductor Stretch Seated Bilateral Static,musclewiki,male,Mobility,Inner Thigh,Recovery
female-Recovery-adductor-stretch-seated-bilateral-static-front.mp4,Adductor Stretch Seated Bilateral Static,musclewiki,female,Mobility,Inner Thigh,Recovery
pL2CWAJE-ryqiVsBL.mp4,Advanced sit thrus,centr,,Full body,,
M9nJKTBb-ryqiVsBL.mp4,Air squat,centr,,Legs,,
nhqtrrbF-f9Vyd3qF.mp4,All-fours forearm extension,centr,,Full body,,
g0aWfXUr-f9Vyd3qF.mp4,All-fours forearm flexion,centr,,Full body,,
male-Recovery-alphabet-front.mp4,Alphabet,musclewiki,male,Mobility,Feet,Recovery
female-Recovery-alphabet-front.mp4,Alphabet,musclewiki,female,Mobility,Feet,Recovery
E6PHr1OP-f9Vyd3qF.mp4,Alternating 3-legged dog + lunge + pigeon pose,centr,,Mobility,,
OGO3Ftpc-f9Vyd3qF.mp4,Alternating 90-90 + half lunge,centr,,Legs,,
n8ZowM8x-f9Vyd3qF.mp4,Alternating 90-90 stretch,centr,,Mobility,,
89jya9AM-f9Vyd3qF.mp4,Alternating all-fours chest opener,centr,,Mobility,,
Vxht9rcS-f9Vyd3qF.mp4,Alternating all-fours chest stretch,centr,,Mobility,,
5vWC81NG-ryqiVsBL.mp4,Alternating Arnold press,centr,,Push,,
male-Bodyweight-alternating-bent-leg-raise-front.mp4,Alternating Bent Leg Raise,musclewiki,male,Core,Abdominals,Bodyweight
female-Bodyweight-alternating-bent-leg-raise-front.mp4,Alternating Bent Leg Raise,musclewiki,female,Core,Abdominals,Bodyweight
ZK85gZ9y-f9Vyd3qF.mp4,Alternating bent-knee v-sit,centr,,Full body,,
0hBXe4Vt-ryqiVsBL.mp4,Alternating calf + hamstring stretch,centr,,Mobility,,
X6Bmrz2m-f9Vyd3qF.mp4,Alternating chest stretch,centr,,Mobility,,
x6rSqU2j-f9Vyd3qF.mp4,Alternating Cossack squat + reach,centr,,Mobility,,
SDF1XWN3-f9Vyd3qF.mp4,Alternating curtsy lunge,centr,,Legs,,
Q2IhNpbI-ryqiVsBL.mp4,Alternating curtsy lunge,centr,,Legs,,
